row,col | V_base                   | V_new                    | equal
  1,  1 |   4.4430889068695656e-04 |   4.4430889068695656e-04 | 1
  1,  2 |   3.1935676218557011e-04 |   3.1935676218557011e-04 | 1
  1,  3 |   3.4051756457144887e-04 |   3.4051756457144887e-04 | 1
  1,  4 |   5.8601993022681801e-04 |   5.8601993022681801e-04 | 1
  1,  5 |   8.4173350572776424e-04 |   8.4173350572776424e-04 | 1
  1,  6 |   4.5908880167689879e-05 |   4.5908880167689879e-05 | 1
  1,  7 |   5.6051895725257547e-04 |   5.6051895725257547e-04 | 1
  1,  8 |   4.1497276986817246e-04 |   4.1497276986817246e-04 | 1
  1,  9 |   2.4511341251179554e-04 |   2.4511341251179554e-04 | 1
  1, 10 |  -1.8643182831908870e-04 |  -1.8643182831908870e-04 | 1
  1, 11 |   1.4489263986396553e-04 |   1.4489263986396553e-04 | 1
  1, 12 |   4.1100095274937095e-04 |   4.1100095274937095e-04 | 1
  2,  1 |   3.1935676218557011e-04 |   3.1935676218557011e-04 | 1
  2,  2 |   6.7728017957458062e-04 |   6.7728017957458062e-04 | 1
  2,  3 |   5.1912417095981254e-04 |   5.1912417095981254e-04 | 1
  2,  4 |   4.6005627471843152e-05 |   4.6005627471843152e-05 | 1
  2,  5 |  -2.6091659399139560e-04 |  -2.6091659399139560e-04 | 1
  2,  6 |   1.3178309678527924e-03 |   1.3178309678527924e-03 | 1
  2,  7 |   1.4834853308739706e-04 |   1.4834853308739706e-04 | 1
  2,  8 |   3.5305315251056948e-04 |   3.5305315251056948e-04 | 1
  2,  9 |   7.0634683038897726e-04 |   7.0634683038897726e-04 | 1
  2, 10 |   1.4747532249216530e-03 |   1.4747532249216530e-03 | 1
