estname,n_base,n_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict,gate_fail
grc_chn_cub_c1,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c1_a,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c1_d,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c1_g,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c1_n,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c2,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c2_a,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c2_d,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c2_g,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_c2_n,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ca,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ca_a,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ca_d,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ca_g,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ca_n,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ct,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ct_a,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ct_d,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ct_g,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cub_ct_n,56852,56852,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c1,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c1_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c1_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c1_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c1_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c2,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c2_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c2_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c2_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_c2_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ca,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ca_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ca_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ca_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ca_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ct,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ct_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ct_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ct_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_cuu_ct_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c1,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c1_a,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c1_d,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c1_g,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c1_n,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c2,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c2_a,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c2_d,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c2_g,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_c2_n,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ca,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ca_a,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ca_d,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ca_g,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ca_n,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ct,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ct_a,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ct_d,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ct_g,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_rf_cuu_ct_n,80742,80742,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c1,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c1_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c1_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c1_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c1_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c2,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c2_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c2_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c2_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_c2_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ca,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ca_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ca_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ca_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ca_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ct,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ct_a,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ct_d,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ct_g,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_chn_uf_cuu_ct_n,28264,28264,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c1,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c1_a,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c1_d,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c1_g,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c1_n,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c2,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c2_a,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c2_d,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c2_g,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_c2_n,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ca,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ca_a,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ca_d,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ca_g,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ca_n,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ct,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ct_a,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ct_d,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ct_g,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cub_ct_n,16275,16275,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c1,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c1_a,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c1_d,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c1_g,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c1_n,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c2,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c2_a,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c2_d,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c2_g,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_c2_n,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_ca,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_ca_a,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_ca_d,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_ca_g,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
grc_idn_cuu_ca_n,92438,92438,1,1,0.0000000000000000e+00,PASS_BITWISE,0
