row,col | V_base                   | V_new                    | equal
  1,  1 |   4.8562457988669328e-04 |   4.8562457988669328e-04 | 1
  1,  2 |   4.0039295945076543e-04 |   4.0039295945076543e-04 | 1
  1,  3 |   3.7933348367715685e-04 |   3.7933348367715685e-04 | 1
  1,  4 |   6.7945443015857642e-04 |   6.7945443015857642e-04 | 1
  1,  5 |   9.5220133081805043e-04 |   9.5220133081805043e-04 | 1
  1,  6 |   2.2851879681462173e-04 |   2.2851879681462173e-04 | 1
  1,  7 |   6.2264356270839180e-04 |   6.2264356270839180e-04 | 1
  1,  8 |   4.9884962969195450e-04 |   4.9884962969195450e-04 | 1
  1,  9 |   2.5514091780477418e-04 |   2.5514091780477418e-04 | 1
  1, 10 |  -2.6619461733190557e-04 |  -2.6619461733190557e-04 | 1
  1, 11 |   1.8851309133344126e-04 |   1.8851309133344126e-04 | 1
  1, 12 |   4.6644834482517650e-04 |   4.6644834482517650e-04 | 1
  2,  1 |   4.0039295945076543e-04 |   4.0039295945076543e-04 | 1
  2,  2 |   4.9475368037185923e-04 |   4.9475368037185923e-04 | 1
  2,  3 |   5.1621174147364109e-04 |   5.1621174147364109e-04 | 1
  2,  4 |   2.0573621851034191e-04 |   2.0573621851034191e-04 | 1
  2,  5 |  -5.1443389139502172e-05 |  -5.1443389139502172e-05 | 1
  2,  6 |   6.9121978407759655e-04 |   6.9121978407759655e-04 | 1
  2,  7 |   2.7391848842199811e-04 |   2.7391848842199811e-04 | 1
  2,  8 |   3.8847343567065246e-04 |   3.8847343567065246e-04 | 1
  2,  9 |   6.5243906885043500e-04 |   6.5243906885043500e-04 | 1
  2, 10 |   1.1737892017033721e-03 |   1.1737892017033721e-03 | 1
  2, 11 |   7.2065526050930093e-04 |   7.2065526050930093e-04 | 1
  2, 12 |   4.4339951766329578e-04 |   4.4339951766329578e-04 | 1
  3,  1 |   3.7933348367715685e-04 |   3.7933348367715685e-04 | 1
  3,  2 |   5.1621174147364109e-04 |   5.1621174147364109e-04 | 1
  3,  3 |   5.5699875725859346e-04 |   5.5699875725859346e-04 | 1
  3,  4 |   7.8253209037783554e-05 |   7.8253209037783554e-05 | 1
  3,  5 |  -3.2365124982567663e-04 |  -3.2365124982567663e-04 | 1
  3,  6 |   8.1960997201330666e-04 |   8.1960997201330666e-04 | 1
  3,  7 |   1.8061272256533745e-04 |   1.8061272256533745e-04 | 1
  3,  8 |   3.6025547243636810e-04 |   3.6025547243636810e-04 | 1
  3,  9 |   7.6294325158511199e-04 |   7.6294325158511199e-04 | 1
  3, 10 |   1.5691303135180299e-03 |   1.5691303135180299e-03 | 1
  3, 11 |   8.6800458857203087e-04 |   8.6800458857203087e-04 | 1
  3, 12 |   4.3908883856287915e-04 |   4.3908883856287915e-04 | 1
  4,  1 |   6.7945443015857642e-04 |   6.7945443015857642e-04 | 1
  4,  2 |   2.0573621851034191e-04 |   2.0573621851034191e-04 | 1
  4,  3 |   7.8253209037783554e-05 |   7.8253209037783554e-05 | 1
  4,  4 |   1.7623591492616358e-03 |   1.7623591492616358e-03 | 1
  4,  5 |   3.2107764410920893e-03 |   3.2107764410920893e-03 | 1
  4,  6 |  -8.0356929574406765e-04 |  -8.0356929574406765e-04 | 1
  4,  7 |   1.4113719605229167e-03 |   1.4113719605229167e-03 | 1
